2025-09-25 16:11:26,251 | INFO | BotMonitor | 🖥️  System: CPU 29.9%, RAM 47.8%, Latency 112.73ms
2025-09-25 16:11:26,251 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:16:26,257 | INFO | BotMonitor | 🖥️  System: CPU 26.1%, RAM 50.2%, Latency 126.61ms
2025-09-25 16:16:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:21:26,260 | INFO | BotMonitor | 🖥️  System: CPU 35.1%, RAM 50.8%, Latency 104.71ms
2025-09-25 16:21:26,260 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:26:26,257 | INFO | BotMonitor | 🖥️  System: CPU 30.6%, RAM 50.9%, Latency 114.73ms
2025-09-25 16:26:26,258 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:31:26,249 | INFO | BotMonitor | 🖥️  System: CPU 27.6%, RAM 51.1%, Latency 121.81ms
2025-09-25 16:31:26,249 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:36:26,253 | INFO | BotMonitor | 🖥️  System: CPU 30.2%, RAM 51.2%, Latency 114.11ms
2025-09-25 16:36:26,253 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:41:26,257 | INFO | BotMonitor | 🖥️  System: CPU 31.1%, RAM 51.2%, Latency 116.8ms
2025-09-25 16:41:26,257 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:46:26,248 | INFO | BotMonitor | 🖥️  System: CPU 34.2%, RAM 51.3%, Latency 109.71ms
2025-09-25 16:46:26,248 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:51:26,258 | INFO | BotMonitor | 🖥️  System: CPU 28.7%, RAM 51.4%, Latency 106.75ms
2025-09-25 16:51:26,258 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 16:56:26,261 | INFO | BotMonitor | 🖥️  System: CPU 30.6%, RAM 51.6%, Latency 110.46ms
2025-09-25 16:56:26,262 | INFO | BotMonitor | 🤖 Bot: 3 guilds, 18 registered users, 0 recent commands
2025-09-25 17:01:26,261 | INFO | BotMonitor | 🖥️  System: CPU 37.1%, RAM 51.8%, Latency 105.12ms
